,stock_name,country,currency,estimateCurrency,exchange,finnhubIndustry,ipo,logo,marketCapitalization,name,phone,shareOutstanding,ticker,weburl,current_price,delta_change,delta_change_percentage,high_price,low_price,open_price,prev_close_price,timestamp
10,Merus N.V.,NL,USD,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,2016-05-19,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942973929136.svg,2020.071153,Merus NV,31850162500,57.73,MRUS,https://merus.nl/,34.99,3.13,9.8242,35.13,31.6725,31.97,31.86,2024-01-19 21:00:01
11,Renesas Electronics Corporation,JP,JPY,JPY,TOKYO STOCK EXCHANGE-TOKYO PRO MARKET,Semiconductors,2003-07-24,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942958803326.svg,4630828.93335,Renesas Electronics Corp,81367733000,1771.281082,6723.T,https://www.renesas.com/,8.84,0.52,6.25,8.84,8.66,8.66,8.32,2024-01-19 00:00:00
12,"Super Micro Computer, Inc.",US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,2007-03-29,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/SMCI.svg,23512.616169,Super Micro Computer Inc,14085038000,55.54,SMCI,https://www.supermicro.com/en/,423.36,111.92,35.9363,428.69,338.8801,347.56,311.44,2024-01-19 21:00:00
13,Telecom Argentina S.A.,AR,ARS,ARS,BOLSA DE COMERCIO DE BUENOS AIRES,Telecommunication,1992-03-24,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/TECO23.BA.svg,1022506.73,Telecom Argentina SA,541131002222,1312.02,TECO23.BA,https://www.telecom.com.ar/,7.42,0.5,7.2254,7.42,6.7,6.91,6.92,2024-01-19 21:00:01
14,Teleperformance SE,FR,EUR,EUR,NYSE EURONEXT - EURONEXT PARIS,Professional Services,1985-01-07,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942958667216.svg,9087.571604,Teleperformance SE,33153835900,63.373084,TEP.PA,https://www.teleperformance.com/,78.67,6.6,9.1578,78.67,77.0625,77.12,72.07,2024-01-19 00:00:00
15,"The Travelers Companies, Inc.",US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,1980-03-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/TRV.svg,48345.313246,Travelers Companies Inc,16513107911,228.4,TRV,https://www.travelers.com/,211.67,13.32,6.7154,214.29,206.59,210.27,198.35,2024-01-19 21:00:01
16,Tricon Residential Inc.,CA,USD,USD,TORONTO STOCK EXCHANGE,Real Estate,2010-05-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/TCN.TO.svg,4048.500369,Tricon Residential Inc,14163232482,272.994,TCN.TO,https://www.triconresidential.com/,11.07,2.44,28.2735,11.15,11.02,11.14,8.63,2024-01-19 21:00:02
17,VinFast Auto Ltd.,SG,VND,VND,NASDAQ NMS - GLOBAL MARKET,Automobiles,2023-08-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/950825008246.svg,14026.731445,VinFast Auto Ltd,6596619709,2332.23,VFS,https://vinfastauto.com/en/#hero,6.0,0.36,6.383,6.23,5.53,5.6,5.64,2024-01-19 21:00:00
18,WNS (Holdings) Limited,IN,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Professional Services,2006-07-26,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/WNS.svg,3174.648421,WNS (Holdings) Ltd,912240812882,47.52,WNS,https://www.wns.com/about-wns,67.82,4.88,7.7534,67.94,64.38,64.38,62.94,2024-01-19 21:00:02
19,Wayfair Inc.,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Retail,2014-10-02,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/W.svg,6620.403055,Wayfair Inc,16175326100,117.95,W,https://www.wayfair.com/,56.13,5.23,10.275,58.3,54.53,57.89,50.9,2024-01-19 21:00:01
